ID,X,Y,Location,Point_Type,Edge_Type,Hard_Mater,Adj_LU,Erosion,Owner,Adj_H1,Vegetation,Hab_W1,Adj_H2,Vegetati_1,Hab_W2,Adj_H3,Vegetati_2,Hab_W3,Adj_H4,Vegetati_3,Hab_W4,IT_Width,Slope,0yster_Pre,Seagrass_P,geometry
565,-80.72012,28.70572,Merritt Island,Transition,Hard Slope,"Concrete, Rubble",Park,3,Public,Vegetation,"536, 539, 99",0,"Rock, Vegetation",0,4,"Sand, Rock",0,2,Water,,,6,0.257,No,No,POINT (-80.72012 28.70572)
566,-80.7194,28.70519,Merritt Island,Transect,Hard Slope,"Concrete, Rubble",Park,3,Public,"Rock, Vegetation",99,1,"Rock, Vegetation",0,1,Rock,0,1,Sand,,2,4,0.18,No,Yes,POINT (-80.7194 28.70519)
567,-80.71721,28.70249,Merritt Island,Transect,Hard Slope,"Concrete, Rubble",Park,3,Public,"Rock, Vegetation",530,2,Rock,0,1,"Sand, Water",0,1,,,,2,0.248,No,Yes,POINT (-80.71721 28.70249)
568,-80.715,28.69983,Merritt Island,Transect,Hard Slope,"Concrete, Rubble",Park,2,Public,Vegetation,99,2,"Rock, Vegetation",0,2,Sand,0,5,Water,,,7,0.129,No,Yes,POINT (-80.715 28.69983)
569,-80.7138,28.69831,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,No,Yes,POINT (-80.7138 28.69831)
570,-80.71382,28.69817,Merritt Island,Transition,No Structure,,Park,2,Public,Vegetation,"133, 123",1,Vegetation,0,2,"Sand, Water",0,4,,,,6,0.084,No,Yes,POINT (-80.71382 28.69817)
571,-80.71127,28.69571,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"527, 123, 107",2,Vegetation,0,2,"Sand, Water",0,6,,,,8,0.079,No,Yes,POINT (-80.71127 28.69571)
572,-80.70858,28.69335,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"527, 101, 531",2,Vegetation,0,1,"Sand, Water",0,6,,,,7,0.052,No,Yes,POINT (-80.70858 28.69335)
573,-80.70573,28.69116,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"101, 133",2,Vegetation,0,3,"Sand, Water",0,5,,,,8,0.075,No,Yes,POINT (-80.70573 28.69116)
574,-80.70303,28.68882,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"123, 101, 531",3,Vegetation,111,1,"Sand, Water",0,6,,,,7,0.066,No,Yes,POINT (-80.70303 28.68882)
575,-80.7003,28.68651,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,133,1,Vegetation,0,4,Vegetation,111,1,Sand,,4,9,0.049,No,Yes,POINT (-80.7003 28.68651)
576,-80.69753,28.68429,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"133, 101",1,Vegetation,0,6,"Sand, Vegetation",111,2,Sand,,5,13,0.11,No,Yes,POINT (-80.69753 28.68429)
577,-80.69506,28.68181,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,133,1,Vegetation,123,3,"Sand, Water",0,8,,,,8,0.079,No,Yes,POINT (-80.69506 28.68181)
578,-80.6926,28.67911,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,133,1,Vegetation,0,1,Vegetation,0,5,Sand,,5,10,0.109,No,Yes,POINT (-80.6926 28.67911)
579,-80.69058,28.67624,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"133, 523",1,Vegetation,0,2,Vegetation,111,1,Sand,,3,4,0.133,No,Yes,POINT (-80.69058 28.67624)
580,-80.69004,28.67561,Merritt Island,Transition,Hard Slope,"Concrete, Rubble",Park,2,Public,Vegetation,"527, 99",3,"Rock, Vegetation",0,3,"Sand, Water",0,6,,,,9,0.068,No,Yes,POINT (-80.69004 28.67561)
581,-80.68935,28.675,Merritt Island,Transition,No Structure,,Park,2,Public,Vegetation,"123, 101, 527",1,Vegetation,0,1,"Sand, Water",0,5,,,,6,0.082,No,Yes,POINT (-80.68935 28.675)
582,-80.68883,28.67422,Merritt Island,Transition,Hard Slope,"Concrete, Rubble",Park,2,Public,"Rock, Vegetation",99,2,"Sand, Vegetation",111,3,Sand,0,2,Water,,,5,0.15,No,Yes,POINT (-80.68883 28.67422)
583,-80.68778,28.67286,Merritt Island,Transition,No Structure,,Park,2,Public,Vegetation,"527, 99",2,Vegetation,0,4,Sand,0,2,Water,,,6,0.088,No,Yes,POINT (-80.68778 28.67286)
584,-80.68742,28.6724,Merritt Island,Transition,Hard Slope,"Concrete, Rubble",Park,3,Public,"Rock, Vegetation","99, 527",3,"Rock, Vegetation",111,2,Sand,0,1,Water,,,3,0.208,No,Yes,POINT (-80.68742 28.6724)
585,-80.68681,28.67152,Merritt Island,Transect,Hard Slope,"Concrete, Rubble",Park,2,Public,"Rock, Vegetation","123, 529",3,"Vegetation, S",111,2,"Sand, Water",0,3,,,,5,0.078,No,Yes,POINT (-80.68681 28.67152)
586,-80.68387,28.67013,Merritt Island,Outfall,Hard Slope,Wood,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.68387 28.67013)
587,-80.6833,28.67025,Merritt Island,Transition,No Structure,,Park,2,Public,Vegetation,"123, 107, 233, 529",7,"Vegetation, S",0,3,"Sand, Water",0,3,,,,6,0.041,No,Yes,POINT (-80.6833 28.67025)
588,-80.65183,28.67355,Canaveral National Seashore,Transect,No Structure,,Park,2,Public,Vegetation,"133, 541, 527",2,Vegetation,0,2,"Sand, Water",0,6,,,,6,0.074,No,Yes,POINT (-80.65183 28.67355)
589,-80.65552,28.67325,Canaveral National Seashore,Transect,No Structure,,Park,2,Public,Vegetation,123,1,Vegetation,0,3,"Sand, Water",0,7,,,,10,0.064,No,Yes,POINT (-80.65552 28.67325)
590,-80.65878,28.67208,Canaveral National Seashore,Transect,No Structure,,Park,2,Public,Vegetation,133,1,Vegetation,0,4,Vegetation,0,6,Sand,,2,6,0.119,No,Yes,POINT (-80.65878 28.67208)
591,-80.65732,28.66805,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,111,1,Vegetation,0,5,Vegetation,0,4,"Sand, Vegetation, W",111,1.5,11,0.214,No,Yes,POINT (-80.65732 28.66805)
592,-80.65395,28.66659,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,133,1,Vegetation,0,4,"Sand, Water",0,2,,,,6,0.2,No,Yes,POINT (-80.65395 28.66659)
593,-80.6502,28.66646,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,"111, 231",1,Vegetation,0,6,Vegetation,0,6,Sand,,1,14,0.07,No,Yes,POINT (-80.6502 28.66646)
594,-80.64929,28.66912,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,133,1,Vegetation,0,4,Vegetation,111,6,Sand,,1,11,0.07,No,Yes,POINT (-80.64929 28.66912)
595,-80.64712,28.66684,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,111,1,Vegetation,0,4,Vegetation,0,5,Sand,,1,11,0.07,No,Yes,POINT (-80.64712 28.66684)
596,-80.64522,28.66441,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,111,1,Vegetation,0,8,Vegetation,0,3,Sand,,1,13,0.07,No,Yes,POINT (-80.64522 28.66441)
597,-80.64227,28.66176,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,"133, 101",4,Vegetation,0,2,Vegetation,111,1,Sand,,1,4,0.145,No,Yes,POINT (-80.64227 28.66176)
598,-80.64072,28.65832,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,99,1,Vegetation,0,5,Vegetation,0,6,Sand,,2,13,0.112,No,Yes,POINT (-80.64072 28.65832)
599,-80.64529,28.65525,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"111, 231",2,Vegetation,0,12,Mud,0,6,Water,,0,20,0.035,No,Yes,POINT (-80.64529 28.65525)
600,-80.64898,28.65803,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"99, 123",1,Vegetation,123,4,Vegetation,0,3,"Vegetation, S, W",111,1,4,0.084,No,Yes,POINT (-80.64898 28.65803)
601,-80.65223,28.66113,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"99, 535",2,Vegetation,0,4,Vegetation,0,4,Sand,,2,10,0.084,No,Yes,POINT (-80.65223 28.66113)
602,-80.65689,28.66295,Canaveral National Seashore,Transect,Saltmarsh,,Park,1,Public,Vegetation,"123, 99",1,Vegetation,123,2,Vegetation,0,4,Mud,,3.5,8,0.065,No,Yes,POINT (-80.65689 28.66295)
603,-80.66125,28.6645,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,123,1,Vegetation,111,3,Vegetation,0,6,Sand,,6,15,0.058,No,Yes,POINT (-80.66125 28.6645)
604,-80.66456,28.6636,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"99, 99, 133",0,Vegetation,0,4,"Sand, Water",0,6,,,,10,0.086,No,Yes,POINT (-80.66456 28.6636)
605,-80.6651,28.6635,Canaveral National Seashore,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,No,No,POINT (-80.6651 28.6635)
606,-80.66848,28.6613,Canaveral National Seashore,Transect,No Structure,,Park,2,Public,Vegetation,"99, 529",1,Vegetation,0,3,"Vegetation, Mud",0,4,Mud,,5,12,0.025,No,Yes,POINT (-80.66848 28.6613)
607,-80.67245,28.66328,Canaveral National Seashore,Transect,No Structure,,Park,3,Public,Vegetation,133,1,Vegetation,0,6,Vegetation,0,4,Sand,,6,16,0.025,No,Yes,POINT (-80.67245 28.66328)
608,-80.67482,28.66694,Canaveral National Seashore,Transect,No Structure,,Park,2,Public,Vegetation,"133, 123, 107",3,Shell,0,1,"Sand, Water",0,5,,,,6,0.063,No,Yes,POINT (-80.67482 28.66694)
609,-80.67493,28.6672,Canaveral National Seashore,Transition,Hard Slope,"Concrete, Rubble",Park,3,Public,"Rock, Vegetation",527,0,"Rock, Vegetation",0,4,"Shell, Vegetation",111,1,Sand,,6,7,0.128,No,Yes,POINT (-80.67493 28.6672)
610,-80.67957,28.66922,Canaveral National Seashore,Transect,Hard Slope,"Concrete, Rubble",Park,2,Public,"Rock, Vegetation","527, 99",2,"Rock, Vegetation, Shell",0,5,"Sand, Vegetation",111,6,Water,,,11,0.076,No,Yes,POINT (-80.67957 28.66922)
611,-80.8169,28.83308,Oak Hill,Transect,Saltmarsh,,Park,2,Public,Vegetation,"123, 101",1,Vegetation,0,2,Vegetation,0,2,"Sand, Vegetation",111,3,3,0.11,No,Yes,POINT (-80.8169 28.83308)
612,-80.81892,28.83647,Oak Hill,Transect,Saltmarsh,,Residential,2,Private,Vegetation,"123, 536",1,Vegetation,111,4,Sand,0,3,Water,,,7,0.09,No,Yes,POINT (-80.81892 28.83647)
613,-80.82081,28.83976,Oak Hill,Transect,Saltmarsh,,Park,2,Public,Vegetation,"122, 536",2,Vegetation,0,8,Vegetation,0,7,Sand,,3,18,0.1,No,Yes,POINT (-80.82081 28.83976)
614,-80.8226,28.84301,Oak Hill,Transect,Saltmarsh,,Park,2,Public,Vegetation,250,1,Vegetation,0,4,"Sand, Vegetation",250,4,Sand,,,8,0.5,No,Yes,POINT (-80.8226 28.84301)
615,-80.8216,28.840955,Oak Hill,Outfall,No Structure,,Park,3,Public,,,0,,0,0,,0,0,,,,0,0.0,No,Yes,POINT (-80.8216 28.840955)
616,-80.8244,28.84599,Oak Hill,Transect,Saltmarsh,,Park,2,Public,Vegetation,507,1,Vegetation,111,2,Vegetation,123,3,Vegetation,"107, 123, 531",2,7,0.1,No,Yes,POINT (-80.8244 28.84599)
617,-80.82475,28.84727,Oak Hill,Outfall,No Structure,,Park,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.82475 28.84727)
618,-80.82581,28.84902,Oak Hill,Outfall,No Structure,,Park,3,Public,,,0,,0,0,,0,0,,,,0,0.0,No,Yes,POINT (-80.82581 28.84902)
619,-80.82649,28.84939,Oak Hill,Transect,No Structure,,Park,3,Public,Vegetation,123,10,Vegetation,0,3,Sand,0,2,,,,5,0.1,No,Yes,POINT (-80.82649 28.84939)
620,-80.82657,28.85004,Oak Hill,Outfall,No Structure,,,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,Yes,POINT (-80.82657 28.85004)
621,-80.8279,28.85243,Oak Hill,Transect,No Structure,,Park,2,Public,Vegetation,"123, 250",4,Vegetation,0,6,Vegetation,0,7,Sand,,3,16,0.05,No,Yes,POINT (-80.8279 28.85243)
622,-80.82843,28.85411,Oak Hill,Outfall,No Structure,,Park,3,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.82843 28.85411)
623,-80.82953,28.85563,Oak Hill,Transect,No Structure,,Park,3,Public,Vegetation,"111, 110, 107",4,Vegetation,505,1,Vegetation,0,2,Sand,,3,10,0.08,No,Yes,POINT (-80.82953 28.85563)
624,-80.83085,28.85843,Oak Hill,Transect,No Structure,,Park,2,Public,Vegetation,"123, 111, 523",2,Vegetation,0,4,Vegetation,111,1,Sand,,2,9,0.09,No,Yes,POINT (-80.83085 28.85843)
625,-80.82617,28.85779,Oak Hill,Transect,No Structure,,Park,2,Public,"Vegetation, Sand","133, 505, 531",6,"Shell, Rock",0,4,Water,0,0,,,,10,0.1,No,Yes,POINT (-80.82617 28.85779)
626,-80.82396,28.85426,Oak Hill,Transect,No Structure,,Park,2,Public,Vegetation,"111, 505",2,Vegetation,0,1,Vegetation,110,4,Water,,,7,0.04,No,,POINT (-80.82396 28.85426)
627,-80.82211,28.85173,Oak Hill,Transect,No Structure,,Park,1,Public,"Vegetation, Sand","107, 536",1,Sand,0,3,"Sand, Rock",0,5,Water,,,8,0.06,No,No,POINT (-80.82211 28.85173)
628,-80.81839,28.84526,Oak Hill,Transect,No Structure,,Park,2,Public,Vegetation,"123, 505",1,Vegetation,0,2,"Shell, Vegetation",0,8,Water,,,10,0.09,No,Yes,POINT (-80.81839 28.84526)
629,-80.81564,28.84119,Oak Hill,Transect,Hard Slope,,Park,2,Public,Vegetation,"101, 107, 531",2,"Shell, Vegetation",505,3,"Sand, Rock",0,5,Water,,,8,0.11,,,POINT (-80.81564 28.84119)
630,-80.81308,28.83601,Oak Hill,Transect,Hard Slope,Rubble,Park,2,Public,Vegetation,"101, 531, 536",5,"Shell, Rock",0,10,Water,0,0,,,,10,0.1,No,No,POINT (-80.81308 28.83601)
631,-80.81002,28.83085,Oak Hill,Transect,Hard Slope,Rubble,Park,2,Public,Vegetation,"101, 536",2,Shell,0,1,"Sand, Water",0,8,Water,,,9,0.12,No,Yes,POINT (-80.81002 28.83085)
632,-80.80671,28.82594,Oak Hill,Transect,Hard Slope,Rubble,Park,2,Public,Vegetation,"111, 505",4,"Sand, Rock",0,4,Water,0,0,,,,8,0.11,No,Yes,POINT (-80.80671 28.82594)
633,-80.8041,28.82184,Oak Hill,Transect,Hard Slope,Rubble,Park,2,Public,Vegetation,133,2,"Sand, Rock",0,11,Water,0,0,,,,11,0.1,No,Yes,POINT (-80.8041 28.82184)
634,-80.70496,28.74793,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,133,1,Vegetation,111,1,"Vegetation, S",0,13,"Sand, Vegetation, W","111, 231",6,20,0.019,No,Yes,POINT (-80.70496 28.74793)
635,-80.7029,28.74424,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"111, 133",1,"Water, Sand",0,25,Vegetation,0,9,"Vegetation, S, W","111, 107, 231, 510",5,40,0.039,No,Yes,POINT (-80.7029 28.74424)
636,-80.70009,28.74114,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"111, 231, 510",5,"Vegetation, S",0,5,Vegetation,0,13,Sand,,3,26,0.051,No,Yes,POINT (-80.70009 28.74114)
637,-80.69779,28.7379,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"111, 231",5,"Sand, Water",0,10,"Vegetation, S",0,14,Vegetation,"111, 107, 123",4.5,33,0.1,No,Yes,POINT (-80.69779 28.7379)
638,-80.69672,28.73694,Canaveral National Seashore,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.69672 28.73694)
639,-80.69562,28.73599,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"510, 111, 133",2,Vegetation,107,3,Vegetation,111,1,Sand,,2,8,0.1,No,Yes,POINT (-80.69562 28.73599)
640,-80.69418,28.73155,Canaveral National Seashore,Transect,Saltmarsh,,Park,2,Public,Vegetation,"133, 536",2,Vegetation,0,8,"Sand, Water",0,6,,,,14,0.057,No,Yes,POINT (-80.69418 28.73155)
641,-80.69547,28.72757,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,"133, 536",2,Vegetation,0,4,"Sand, Water",0,4,,,,9,0.097,No,Yes,POINT (-80.69547 28.72757)
642,-80.69477,28.72373,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,133,1,Vegetation,0,3,"Sand, Water",0,6,,,,9,0.065,No,Yes,POINT (-80.69477 28.72373)
643,-80.69488,28.71965,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,"111, 231",6,Vegetation,0,1,"Sand, Water",0,5,,,,12,0.035,No,Yes,POINT (-80.69488 28.71965)
644,-80.69424,28.71925,Canaveral National Seashore,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.69424 28.71925)
645,-80.69183,28.72094,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,133,1,Vegetation,0,6,Mud,0,2,Water,,0,8,0.03,No,Yes,POINT (-80.69183 28.72094)
646,-80.68782,28.7207,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,512,1,Vegetation,0,4,Vegetation,0,2,Mud,,1,7,0.03,No,Yes,POINT (-80.68782 28.7207)
647,-80.68736,28.7184,Canaveral National Seashore,Transect,Saltmarsh,,Park,3,Public,Vegetation,"505, 123, 108, 510, 231",4,"Sand, Water",0,4,,0,0,,,,8,0.081,No,Yes,POINT (-80.68736 28.7184)
648,-80.721,28.70687,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"133, 123, 233, 536",5,"Shell, Sand",0,3,Water,0,0,,,,3,0.051,No,Yes,POINT (-80.721 28.70687)
649,-80.72318,28.70956,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,133,1,Vegetation,0,5,Vegetation,0,1,Sand,,3,9,0.071,No,Yes,POINT (-80.72318 28.70956)
650,-80.72395,28.7106,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.72395 28.7106)
651,-80.72625,28.71259,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"101, 547, 123",3,"Vegetation, S",0,1,Sand,0,4,Water,,,5,0.093,No,Yes,POINT (-80.72625 28.71259)
652,-80.72733,28.71386,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,No,Yes,POINT (-80.72733 28.71386)
653,-80.72924,28.71542,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"101, 123, 547",3,Sand,0,4,Water,0,0,,,,4,0.079,No,Yes,POINT (-80.72924 28.71542)
654,-80.7319,28.71812,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"101, 133",2,Vegetation,0,2,Mudflat,0,10,Water,,,12,0.05,No,Yes,POINT (-80.7319 28.71812)
655,-80.73214,28.71842,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.73214 28.71842)
656,-80.73485,28.72045,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"518, 547",1,Vegetation,0,1,Sand,0,1,Water,,,2,0.27,No,Yes,POINT (-80.73485 28.72045)
657,-80.73732,28.72331,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"547, 133",1,"Vegetation, S",0,3,Sand,0,2,Water,,,5,0.126,No,Yes,POINT (-80.73732 28.72331)
658,-80.73971,28.72605,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"133, 506",1,Vegetation,0,2,Vegetation,0,3,Sand,,3,8,0.095,No,Yes,POINT (-80.73971 28.72605)
659,-80.741,28.72876,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.741 28.72876)
660,-80.7428,28.72922,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"547, 250, 123",2,"Vegetation, S",111,1,Sand,0,2,Water,,,3,0.146,No,Yes,POINT (-80.7428 28.72922)
661,-80.74319,28.72997,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.74319 28.72997)
662,-80.7448,28.73198,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.7448 28.73198)
663,-80.74548,28.73215,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"133, 528, 123",1,"Vegetation, S",0,3,Sand,0,1,Water,,,4,0.158,No,Yes,POINT (-80.74548 28.73215)
664,-80.7477,28.7343,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.7477 28.7343)
665,-80.74776,28.7343,Merritt Island,Transition,"Bulkhead, Hard Slope","Concrete, Rubble",Park,2,Public,Vegetation,"542, 107, 123",2,"Rock, BH",0,3,Water,0,0,,,,3,0.09,No,Yes,POINT (-80.74776 28.7343)
666,-80.74796,28.735,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.74796 28.735)
667,-80.74818,28.73488,Merritt Island,Transition,No Structure,,Park,1,Public,Vegetation,"101, 504, 547",1,Sand,0,3,Water,0,0,,,,3,0.233,No,Yes,POINT (-80.74818 28.73488)
668,-80.74863,28.7357,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,No,Yes,POINT (-80.74863 28.7357)
669,-80.74917,28.7365,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,No,Yes,POINT (-80.74917 28.7365)
670,-80.74978,28.73716,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,,,POINT (-80.74978 28.73716)
671,-80.75032,28.73863,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,"527, 547",3,Sand,0,2,Water,0,0,,,,2,0.183,No,Yes,POINT (-80.75032 28.73863)
672,-80.75033,28.73895,Merritt Island,Outfall,No Structure,,Park,0,Public,,,0,,0,0,,0,0,,,,0,0.0,No,Yes,POINT (-80.75033 28.73895)
673,-80.77149,28.76997,Merritt Island,Transect,No Structure,,Park,1,Public,"Vegetation, Sand","107, 101",3,"Sand, Water",0,4,,0,0,,,,4,0.151,No,Yes,POINT (-80.77149 28.76997)
674,-80.77356,28.77309,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"107, 101",1,"Sand, Shell",0,4,Water,0,0,,,,4,0.124,No,Yes,POINT (-80.77356 28.77309)
675,-80.7757,28.77622,Merritt Island,Transect,No Structure,,Park,1,Public,Vegetation,107,1,"Sand, Shell",0,6,Water,0,0,,,,6,0.163,No,Yes,POINT (-80.7757 28.77622)
676,-80.77808,28.78015,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"123, 505, 111",1,"Vegetation, S",0,2,"Sand, Shell",0,13,Water,,,16,0.062,No,Yes,POINT (-80.77808 28.78015)
677,-80.78013,28.78318,Merritt Island,Transect,No Structure,,Park,1,Public,"Vegetation, Sand","515, 99",1,"Sand, Shell",0,8,Water,0,0,,,,8,0.271,No,Yes,POINT (-80.78013 28.78318)
678,-80.78207,28.78636,Merritt Island,Transition,Hard Slope,"Rubble, Coquina",Park,1,Public,"Vegetation, Sand","504, 515",2,"Sand, Shell, Vegetation",0,5,"Rock, Sand",0,5,Water,,,10,0.141,No,Yes,POINT (-80.78207 28.78636)
679,-80.78234,28.78688,Merritt Island,Transition,No Structure,,Park,1,Public,"Vegetation, Sand","515, 531",2,"Sand, Shell",0,5,Water,0,0,,,,5,0.171,No,Yes,POINT (-80.78234 28.78688)
680,-80.78398,28.79086,Merritt Island,Transect,No Structure,,Park,2,Public,Vegetation,"123, 101, 111",1,"Sand, Shell",0,6,Water,0,0,,,,6,0.108,No,Yes,POINT (-80.78398 28.79086)
681,-80.78655,28.79419,Merritt Island,Transition,Hard Slope,"Rubble, Coquina",Park,3,Public,Vegetation,"505, 531, 123",1,Sand,0,1,"Rock, Sand",0,5,Water,,,7,0.1,No,Yes,POINT (-80.78655 28.79419)
682,-80.78708,28.79453,Merritt Island,Transition,No Structure,,Park,2,Public,Vegetation,133,1,"Vegetation, Shell, S",0,5,"Sand, Shell",0,2,Water,,,2,0.166,No,Yes,POINT (-80.78708 28.79453)
683,-80.7897,28.79757,Oak Hill,Transect,No Structure,,Park,3,Public,Vegetation,"111, 531, 107",2,"Shell, Sand",0,4,Water,0,0,,,,6,0.086,No,Yes,POINT (-80.7897 28.79757)
684,-80.78957,28.79801,Oak Hill,Transition,Hard Slope,"Rubble, Coquina",Park,2,Public,Vegetation,"133, 505, 531",2,"Sand, Shell",0,3,"Rock, Shell, Sand",0,4,Water,,,9,0.076,No,Yes,POINT (-80.78957 28.79801)
685,-80.78992,28.79865,Oak Hill,Transition,No Structure,,Park,2,Public,"Vegetation, Shell","111, 531, 231",2,Shell,0,1,"Sand, Shell",0,5,Water,,,8,0.098,No,Yes,POINT (-80.78992 28.79865)
686,-80.79122,28.80096,Oak Hill,Transect,No Structure,,Park,1,Public,"Vegetation, Shell","101, 107, 108, 527",3,"Sand, Shell",0,6,Water,0,0,,,,9,0.139,No,Yes,POINT (-80.79122 28.80096)
687,-80.79436,28.80308,Oak Hill,Transect,No Structure,,Park,2,Public,Vegetation,"123, 111, 531",3,Sand,0,4,Water,0,0,,,,7,0.11,No,Yes,POINT (-80.79436 28.80308)
688,-80.79326,28.80457,Oak Hill,Transition,Hard Slope,"Rubble, Coquina",Park,1,Public,"Vegetation, Shell","536, 101, 133, 99",2,Shell,0,1,"Rock, Shell, Sand",0,6,Water,,,7,0.138,No,Yes,POINT (-80.79326 28.80457)
689,-80.79321,28.8049,Oak Hill,Transition,No Structure,,Park,1,Public,Vegetation,"107, 527, 101",2,"Shell, Sand",0,6,Water,0,0,,,,6,0.191,No,Yes,POINT (-80.79321 28.8049)
690,-80.79415,28.80709,Oak Hill,Transition,Hard Slope,"Rubble, Coquina",Park,1,Public,"Vegetation, Shell","536, 107, 504, 101",2,Sand,0,2,"Rock, Sand, Shell",0,6,Water,,,8,0.14,No,Yes,POINT (-80.79415 28.80709)
691,-80.79434,28.80759,Oak Hill,Transition,No Structure,,Park,2,Public,Vegetation,"133, 505, 111",4,"Sand, Shell",0,8,Water,0,0,,,,12,0.058,No,Yes,POINT (-80.79434 28.80759)
692,-80.79642,28.81009,Oak Hill,Transect,No Structure,,Park,3,Public,Vegetation,"123, 111, 505",2,"Vegetation, Shell",0,4,"Sand, Shell",0,6,Water,,,12,0.08,No,Yes,POINT (-80.79642 28.81009)
693,-80.79774,28.81221,Oak Hill,Transition,Hard Slope,"Rubble, Coquina",Park,2,Public,Vegetation,"536, 107, 101",3,"Sand, Rock",0,10,Water,0,0,,,,10,0.067,No,Yes,POINT (-80.79774 28.81221)
