Name,X,Y,City,Point_Type,Edge_Type,Hard_Mater,Adj_LU,Erosion,Owner,Adj_H1,V_Type1,Hab_W1,Adj_H2,V_Type2,Hab_W2,Adj_H3,V_Type3,Hab_W3,Adj_H4,V_Type4,Hab_W4,IT_Width,Rest_Opp,Slope,Comments,3_m_depth,5_m_depth,0yster_Pre,Seagrass_P,geometry
AM2,-80.73639312,28.60151237,Kennedy Space Center,TR,"HS, MI",CQ,P,2,PUB,V,"529, 107, 510",3,"R, V",111,4,W,0,0.0,,,,4.0,N,0.2,,10.0,20,N,Y,POINT (-80.73639312 28.60151237)
AM3,-80.73197829,28.6011315,Kennedy Space Center,TR,"HS, MI",CQ,P,2,PUB,V,529,3,"R, V",111,4,W,0,0.0,,,,4.0,N,0.2,"small mangrove island, bird rookery- great egrets, pelicans",10.0,20,N,Y,POINT (-80.73197829 28.6011315)
AM4,-80.7278046,28.6008875,Kennedy Space Center,TS,"NS, MI",,P,1,PUB,V,"529, 527, 528",3,S,,3,W,0,0.0,,,,3.0,N,0.15,,10.0,17,N,Y,POINT (-80.7278046 28.6008875)
AM5,-80.72617834,28.59770682,Kennedy Space Center,OF,HS,O-Granite,P,0,PRI,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large metal culverts, 1/2 submerged",0.0,0,,,POINT (-80.72617834 28.59770682)
AM6,-80.72343713,28.59607,Kennedy Space Center,TR,"NS, MI",,P,1,PRI,V,"529, 107, 527",3,"V, S",111,3,W,0,0.0,,,,3.0,N,0.15,,7.0,10,N,Y,POINT (-80.72343713 28.59607)
AM7,-80.71992821,28.59457006,Kennedy Space Center,OF,"NS, MI",,P,0,PRI,,,0,,,0,,0,0.0,,,,0.0,,0.0,opening to Banana Creek,0.0,0,,,POINT (-80.71992821 28.59457006)
AM8,-80.72090236,28.59113582,Kennedy Space Center,TR,"NS, MI",,P,1,PRI,V,"529, 516, 133",4,"V, S","111, 133",3,W,0,0.0,,,,3.0,N,0.2,,10.0,15,N,Y,POINT (-80.72090236 28.59113582)
AM9,-80.72402378,28.59132173,Kennedy Space Center,TR,"NS, MI",,P,1,PRI,V,"529, 516, 107",4,"V, S","111, 133",3,W,0,0.0,,,,3.0,N,0.17,,10.0,15,N,Y,POINT (-80.72402378 28.59132173)
AM10,-80.72458696,28.5875876,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"516, 107, 133",4,V,111,3,W,0,0.0,,,,3.0,N,0.15,,10.0,20,N,Y,POINT (-80.72458696 28.5875876)
AM11,-80.72231236,28.5843842,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"516, 107, 133",4,V,"111, 231",3,W,0,0.0,,,,3.0,N,0.15,,10.0,20,N,Y,POINT (-80.72231236 28.5843842)
AM12,-80.72101551,28.5809534,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"516, 107, 133",4,V,111,3,W,0,0.0,,,,3.0,N,0.15,,10.0,20,N,Y,POINT (-80.72101551 28.5809534)
AM13,-80.72012393,28.57745262,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"516, 107, 133",4,V,111,3,W,0,0.0,,,,3.0,N,0.15,,10.0,20,N,Y,POINT (-80.72012393 28.57745262)
AM14,-80.71950216,28.57395804,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"516, 107, 133",4,V,111,3,W,0,0.0,,,,3.0,N,0.1,,10.0,20,N,Y,POINT (-80.71950216 28.57395804)
AM15,-80.71955765,28.57019196,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"107, 133",4,V,111,3,W,0,0.0,,,,3.0,N,0.1,,10.0,20,N,Y,POINT (-80.71955765 28.57019196)
AM16,-80.71938062,28.56660032,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"527, 107, 133",4,V,111,3,W,0,0.0,,,,3.0,N,0.1,,10.0,20,N,Y,POINT (-80.71938062 28.56660032)
AM17,-80.7202603,28.56357655,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"527, 107, 133",4,V,111,3,W,0,0.0,,,,3.0,N,0.1,,10.0,20,N,Y,POINT (-80.7202603 28.56357655)
AM18,-80.71853573,28.56217073,Kennedy Space Center,OF,"HS, MI",,P,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large culverts, round metal",0.0,0,,,POINT (-80.71853573 28.56217073)
AM19,-80.71625853,28.56129155,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"123, 538, 133, 528, 527",2,"V, S",111,2,W,0,0.0,,,,2.0,N,0.1,narrow dike blocking creek opening,20.0,40,N,N,POINT (-80.71625853 28.56129155)
AM20,-80.71667762,28.56142458,Kennedy Space Center,OF,"NS, MI",,P,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"1 large culvert, metal round",0.0,0,,,POINT (-80.71667762 28.56142458)
AM21,-80.71766585,28.56088948,Kennedy Space Center,TR,"NS, MI",,P,2,PUB,V,"123, 133, 527",3,V,"111, 112",2,W,0,0.0,,,,2.0,N,0.1,,20.0,30,N,N,POINT (-80.71766585 28.56088948)
AM22,-80.72233046,28.55942222,Kennedy Space Center,TR,"NS, MI",,P,2,PUB,V,"123, 133, 527",3,V,111,2,W,0,0.0,,,,2.0,N,0.15,,20.0,30,N,Y,POINT (-80.72233046 28.55942222)
AM23,-80.72242811,28.55559572,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"133, 527",3,V,111,2,W,0,0.0,,,,2.0,N,0.15,,10.0,10,N,Y,POINT (-80.72242811 28.55559572)
AM24,-80.72558122,28.55381448,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"133, 527, 101",3,"V, S","101, 107",2,W,0,0.0,,,,2.0,N,0.2,,10.0,10,N,Y,POINT (-80.72558122 28.55381448)
AM25,-80.72728693,28.55028469,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"133, 527, 101",3,"V, S","101, 107",2,W,0,0.0,,,,2.0,N,0.2,,10.0,10,N,Y,POINT (-80.72728693 28.55028469)
AM26,-80.7278564,28.54618904,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"133, 527, 101",3,"V, S","101, 107, 123",2,W,0,0.0,,,,2.0,N,0.2,,10.0,10,N,Y,POINT (-80.7278564 28.54618904)
AM27,-80.72893498,28.54237251,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"133, 527, 527, 528",3,"V, S",111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,10,N,Y,POINT (-80.72893498 28.54237251)
AM28,-80.72919088,28.53808567,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"133, 527, 527, 528, 233",3,"V, S",111,2,W,0,0.0,,,,2.0,N,0.2,,10.0,10,N,Y,POINT (-80.72919088 28.53808567)
AM29,-80.72979849,28.53375801,Kennedy Space Center,TR,"NS, MI",,P,1,PUB,V,"133, 527, 233",3,V,111,3,W,0,0.0,,,,6.0,N,0.15,,8.0,9,N,Y,POINT (-80.72979849 28.53375801)
AM30,-80.73046074,28.52927981,Kennedy Space Center,OF,"HS, MI","CON, O-Tires",P,0,PUB,,,0,,,0,,0,0.0,,,,0.0,,0.0,"2 large culverts, round metal",0.0,0,,,POINT (-80.73046074 28.52927981)
AM31,-80.72977158,28.52904486,Kennedy Space Center,TR,NS,,O-Road,1,PUB,V,"133, 527, 101, 99",6,S,,3,W,0,0.0,,,,3.0,N,0.2,,10.0,20,N,Y,POINT (-80.72977158 28.52904486)
AM32,-80.734015,28.52845545,Kennedy Space Center,TR,NS,,O-Road,1,PUB,V,"99, 123, 107",6,S,,3,W,0,0.0,,,,3.0,N,0.2,,10.0,20,N,N,POINT (-80.734015 28.52845545)
AM33,-80.73854878,28.52849593,Kennedy Space Center,TR,NS,,O-Road,1,PUB,V,"99, 123, 107, 101",6,S,,3,W,0,0.0,,,,3.0,N,0.2,,10.0,20,N,N,POINT (-80.73854878 28.52849593)
AM34,-80.74471249,28.52884118,Kennedy Space Center,TS,BH,CON,O-Road,3,PUB,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,30.0,40,N,N,POINT (-80.74471249 28.52884118)
AM35,-80.74820104,28.52881193,Kennedy Space Center,TS,"BH, HS","CON, O-Granite",O-Road,1,PUB,V,99,3,R,,2,W,0,0.0,,,,2.0,N,0.3,,30.0,40,N,N,POINT (-80.74820104 28.52881193)
AM36,-80.74977734,28.52873255,Kennedy Space Center,TS,HS,O-Granite,O-Road,1,PUB,V,99,3,R,,4,W,0,0.0,,,,4.0,N,0.3,,30.0,40,N,N,POINT (-80.74977734 28.52873255)
AM37,-80.75772942,28.5291654,Kennedy Space Center,TS,HS,O-Granite,O-Road,1,PUB,R,,10,,,0,,0,0.0,,,,4.0,N,0.3,end of causeway on east side,2.0,3,N,N,POINT (-80.75772942 28.5291654)
B1,-80.76147,28.73076,Merritt Island,TR,NS,,P,2,PUB,V,"111, 133",6,W,,0,,0,0.0,,,,6.0,Y,0.091,,25.0,47,N,N,POINT (-80.76147 28.73076)
B2,-80.76247,28.73103,Merritt Island,TR,NS,,P,2,PUB,"V, S","111, 101",9,W,,0,,0,0.0,,,,9.0,Y,0.036,,30.0,24,N,N,POINT (-80.76247 28.73103)
B3,-80.76445,28.72964,Merritt Island,TR,NS,,P,1,PUB,"V, S",111,18,W,,0,,0,0.0,,,,18.0,Y,0.047,,40.0,44,N,N,POINT (-80.76445 28.72964)
B4,-80.76415,28.72995,Merritt Island,TR,NS,,P,1,PUB,"V, S","111, 123",18,W,,0,,0,0.0,,,,18.0,Y,0.039,depression middle of point,30.0,130,N,N,POINT (-80.76415 28.72995)
B5,-80.76445,28.72998,Merritt Island,TR,NS,,P,1,PUB,"V, S",101,8,W,,0,,0,0.0,,,,2.0,Y,0.249,scarping 70 cm,31.0,35,N,N,POINT (-80.76445 28.72998)
B6,-80.76429,28.73029,Merritt Island,TR,NS,,P,1,PUB,V,111,5,S,,8,W,0,0.0,,,,13.0,Y,0.071,"depression in middle with water, tube worms on seagrass",38.0,38,Y,N,POINT (-80.76429 28.73029)
B7,-80.76403,28.73049,Merritt Island,TR,NS,,P,1,PUB,S,,5,W,,0,,0,0.0,,,,5.0,Y,0.248,some black mangrove seedling,31.0,39,Y,N,POINT (-80.76403 28.73049)
B8,-80.76357,28.73082,Merritt Island,TR,NS,,P,3,PUB,V,111,3,S,,2,W,0,0.0,,,,5.0,Y,0.077,,41.0,46,Y,N,POINT (-80.76357 28.73082)
B9,-80.76276,28.73126,Merritt Island,TR,NS,,P,1,PUB,"V, S","101, 505, 133",6,S,,1,W,0,0.0,,,,1.0,Y,0.085,,45.0,50,Y,N,POINT (-80.76276 28.73126)
B10,-80.76265,28.73127,Merritt Island,TR,NS,,P,1,PUB,V,"111, 101, 123",6,W,,0,,0,0.0,,,,6.0,Y,0.047,,42.0,48,Y,N,POINT (-80.76265 28.73127)
B11,-80.76212,28.73146,Merritt Island,TR,NS,,P,1,PUB,V,"101, 538",5,S,,1,W,0,0.0,,,,1.0,Y,0.8,0.68 m scarp,32.0,40,Y,N,POINT (-80.76212 28.73146)
B12,-80.76192,28.73159,Merritt Island,TR,NS,,P,1,PUB,V,111,3,S,,1,W,0,0.0,,,,4.0,Y,0.18,,39.0,46,Y,N,POINT (-80.76192 28.73159)
B13,-80.76049,28.73276,Merritt Island,TR,NS,,P,1,PUB,V,"111, 99",3,W,,0,,0,0.0,,,,3.0,Y,0.105,,31.0,40,Y,N,POINT (-80.76049 28.73276)
B14,-80.76045,28.73283,Merritt Island,TR,NS,,P,1,PUB,V,"101, 111",5,W,,0,,0,0.0,,,,5.0,Y,0.151,,31.0,43,Y,N,POINT (-80.76045 28.73283)
B15,-80.76029,28.73301,Merritt Island,TR,NS,,P,1,PUB,"V, S",538,7,W,,0,,0,0.0,,,,2.0,Y,0.673,,46.0,53,Y,N,POINT (-80.76029 28.73301)
BA1,-80.91395,29.01531,New Smyrna Beach,TR,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,80.0,90,Y,N,POINT (-80.91395 29.01531)
BA2,-80.91441,29.01616,New Smyrna Beach,TR,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,small 2 in pvc in BH,200.0,300,N,N,POINT (-80.91441 29.01616)
BA3,-80.91516,29.01682,New Smyrna Beach,TR,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,oysters on BH,200.0,300,N,N,POINT (-80.91516 29.01682)
BA4,-80.91583,29.01737,New Smyrna Beach,TS,"BH, HS","CON, RB",R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,300.0,300,N,N,POINT (-80.91583 29.01737)
BA5,-80.91672,29.01729,New Smyrna Beach,TS,"HS, NS",CON,R,3,PRI,V,106,0,V,"111, 112",1,"S, OY",0,3.0,W,,,4.0,N,0.45,in front of mangroves,101.0,114,Y,N,POINT (-80.91672 29.01729)
BA6,-80.91637,29.01649,New Smyrna Beach,TS,"BH, HS","CON, RB",R,3,PRI,V,99,0,R,,1,W,0,0.0,,,,1.0,N,0.75,,110.0,120,Y,N,POINT (-80.91637 29.01649)
BA7,-80.91624,29.01612,New Smyrna Beach,TS,BH,,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,125.0,135,Y,N,POINT (-80.91624 29.01612)
BA8,-80.91614,29.01588,New Smyrna Beach,TS,"BH, HS",RB,R,3,PRI,V,99,0,R,,1,W,0,0.0,,,,1.0,N,0.8,,121.0,131,N,N,POINT (-80.91614 29.01588)
BA9,-80.91599,29.01561,New Smyrna Beach,TS,BH,CON,R,3,PRI,V,100,0,W,,0,,0,0.0,,,,0.0,N,0.75,"metal pipe hidden in rubble, 12 in, no water flow",110.0,121,N,N,POINT (-80.91599 29.01561)
BA10,-80.91575,29.01509,New Smyrna Beach,TS,"BH, HS",CON,R,3,PRI,V,99,0,"R, V",112,1,R,0,0.5,W,,,1.5,N,0.8,,110.0,120,N,N,POINT (-80.91575 29.01509)
BA11,-80.91552,29.01456,New Smyrna Beach,TS,"BH, NS",CON,R,3,PRI,V,99,0,V,112,1,"W, S",0,2.0,W,,,3.0,N,0.7,,115.0,125,N,N,POINT (-80.91552 29.01456)
BA12,-80.91538,29.01368,New Smyrna Beach,TS,NS,,R,3,PRI,V,"101, 518",0,V,"111, 112",3,OY,0,10.0,W,,,13.0,N,0.0,oyster reef,20.0,30,Y,N,POINT (-80.91538 29.01368)
BA13,-80.9152,29.01354,New Smyrna Beach,TS,"HS, NS",RB,R,3,PRI,W,,0,,,0,,0,0.0,,,,0.0,N,0.0,"waterway under single lane road, concrete bags either side",34.0,44,Y,N,POINT (-80.9152 29.01354)
BA14,-80.91526,29.01339,New Smyrna Beach,OF,NS,,R,3,PRI,,,0,,,0,,0,0.0,,,,0.0,N,0.0,water flow under low bridge,0.0,0,,,POINT (-80.91526 29.01339)
BA15,-80.91537,29.01346,New Smyrna Beach,TS,"BH, NS","CON, O-Metal",R,3,PRI,V,99,0,V,112,1,"S, OY",0,2.5,W,,,3.5,N,0.4,,40.0,50,Y,N,POINT (-80.91537 29.01346)
BA16,-80.91579,29.01413,New Smyrna Beach,TR,"BH, NS",CON,R,3,PRI,V,99,0,V,112,3,"S, OY",0,2.0,W,,,5.0,N,0.4,oyster reef,40.0,50,Y,N,POINT (-80.91579 29.01413)
BA17,-80.91631,29.0158,New Smyrna Beach,TR,"BH, NS",,R,3,PRI,V,99,0,V,112,2,"S, OY",0,7.0,W,,,9.0,N,0.0,cove with oysters along both sides,40.0,50,Y,N,POINT (-80.91631 29.0158)
BA18,-80.91681,29.01697,New Smyrna Beach,TS,"BH, HS",CON,R,3,PRI,V,99,0,S,,2,W,0,0.0,,,,2.0,N,0.0,,40.0,50,N,N,POINT (-80.91681 29.01697)
BA19,-80.91702,29.01741,New Smyrna Beach,TS,BH,"CON, RB",R,3,PRI,V,99,0,S,,1,W,0,0.0,,,,1.0,N,0.45,,40.0,50,N,N,POINT (-80.91702 29.01741)
BA20,-80.91719,29.01805,New Smyrna Beach,TS,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,10.0,20,Y,N,POINT (-80.91719 29.01805)
BA21,-80.91702,29.01875,New Smyrna Beach,TS,"BH, HS","CON, RB",R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.5,on stone wharf historic site,10.0,20,N,N,POINT (-80.91702 29.01875)
BA22,-80.91755,29.01956,New Smyrna Beach,TS,NS,,R,3,PRI,V,99,0,V,112,1,"S, R",0,2.0,W,,,3.0,N,0.45,,10.0,20,N,N,POINT (-80.91755 29.01956)
BA23,-80.91758,29.01972,New Smyrna Beach,OF,"HS, NS",CON,R,3,PRI,,,0,,,0,,0,0.0,,,,0.0,N,0.0,"12 in opening in stone wall, no water flow",0.0,0,,,POINT (-80.91758 29.01972)
BA24,-80.91807,29.02058,New Smyrna Beach,TR,NS,,R,3,PRI,"R, V","101, 111, 123",4,S,,6,W,0,0.0,,,,10.0,N,0.35,,40.0,50,,,POINT (-80.91807 29.02058)
BA25,-80.9184,29.02168,New Smyrna Beach,TR,NS,,R,3,PRI,V,99,0,V,"111, 112, 210",4,"S, OY",0,5.0,W,,,9.0,N,0.0,,20.0,30,Y,N,POINT (-80.9184 29.02168)
BA26,-80.90462,29.03994,New Smyrna Beach,TR,"BH, HS","CON, RB",R,3,PRI,V,99,0,"S, R",,3,W,0,0.0,,,,3.0,N,0.6,,120.0,130,N,N,POINT (-80.90462 29.03994)
BA27,-80.90451,29.04088,New Smyrna Beach,TS,"BH, NS",RB,R,3,PRI,V,99,0,"S, R",,3,W,0,0.0,,,,3.0,N,0.65,,153.0,163,N,N,POINT (-80.90451 29.04088)
BA28,-80.90448,29.04109,New Smyrna Beach,TS,NS,RB,R,3,PRI,V,99,0,"S, R",,4,W,0,0.0,,,,4.0,N,0.5,,163.0,173,N,N,POINT (-80.90448 29.04109)
BA29,-80.90437,29.04142,New Smyrna Beach,TS,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.55,"sand bags in front, look like rocks",50.0,70,N,N,POINT (-80.90437 29.04142)
BA30,-80.90434,29.04183,New Smyrna Beach,TS,"BH, NS",RB,R,3,PRI,R,,3,V,101,1,S,0,1.0,W,,,5.0,N,0.5,,50.0,70,N,N,POINT (-80.90434 29.04183)
BA31,-80.90432,29.04226,New Smyrna Beach,TS,NS,RB,R,3,PRI,V,"99, 518",0,R,,3,S,0,1.0,W,,,4.0,N,0.45,,100.0,110,N,N,POINT (-80.90432 29.04226)
BA32,-80.90426,29.04276,New Smyrna Beach,TS,"BH, HS",CON,R,3,PRI,V,99,0,R,,5,S,0,1.0,W,,,6.0,N,0.0,,123.0,143,N,N,POINT (-80.90426 29.04276)
BA33,-80.90428,29.04347,New Smyrna Beach,TS,NS,RB,R,3,PRI,V,"99, 527",0,R,,3,"S, R",0,1.0,W,,,4.0,N,0.75,,191.0,201,N,N,POINT (-80.90428 29.04347)
BA34,-80.90413,29.04351,New Smyrna Beach,OF,NS,RB,R,3,PRI,,,0,,,0,,0,0.0,,,,0.0,N,0.0,"metal pipe hidden in rubble, 12 in, no water flow",0.0,0,,,POINT (-80.90413 29.04351)
BA35,-80.90428,29.04359,New Smyrna Beach,TS,BH,O-Metal,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,170.0,190,N,N,POINT (-80.90428 29.04359)
BA36,-80.90426,29.04447,New Smyrna Beach,TS,"BH, HS",RR,R,3,PRI,V,99,0,"S, R",,2,W,0,0.0,,,,2.0,N,0.0,,150.0,160,N,N,POINT (-80.90426 29.04447)
BA37,-80.9042,29.04481,New Smyrna Beach,TS,NS,RR,R,3,PRI,V,99,0,"R, V",101,5,S,0,2.0,W,,,7.0,N,0.5,,33.0,43,,,POINT (-80.9042 29.04481)
BA38,-80.90428,29.04582,New Smyrna Beach,OF,HS,CON,R,3,PRI,,,0,,,0,,0,0.0,,,,0.0,N,0.0,"concrete pipe (18 in) w/RR, oysters growing in front",0.0,0,,,POINT (-80.90428 29.04582)
BA39,-80.90424,29.04593,New Smyrna Beach,TS,NS,,R,3,PRI,V,99,0,"R, V",122,4,"S, R",0,3.0,W,,,7.0,N,0.7,,105.0,115,Y,N,POINT (-80.90424 29.04593)
BA40,-80.90453,29.04652,New Smyrna Beach,TS,"BH, HS","CON, RB",R,3,PRI,V,99,0,R,,2,"S, W",0,1.0,,,,3.0,N,0.7,,76.0,86,N,N,POINT (-80.90453 29.04652)
BA41,-80.90478,29.04747,New Smyrna Beach,TR,"BH, HS","RB, O",R,3,PRI,V,99,0,R,,2,W,0,0.0,,,,2.0,N,0.7,metal,200.0,210,N,N,POINT (-80.90478 29.04747)
BA42,-80.904826,29.048197,New Smyrna Beach,TS,NS,RB,R,3,PRI,V,99,0,R,,2,"W, R",0,2.0,,,,4.0,N,0.0,,200.0,210,Y,N,POINT (-80.904826 29.048197)
BA43,-80.905075,29.048684,New Smyrna Beach,TS,BH,CON,R,3,PRI,V,510,0,W,,0,,0,0.0,,,,0.0,N,0.0,,200.0,210,Y,N,POINT (-80.905075 29.048684)
BA44,-80.90554,29.049363,New Smyrna Beach,TR,BH,CON,R,3,PRI,V,101,0,R,,1,W,0,0.0,,,,1.0,N,0.8,,0.0,0,N,N,POINT (-80.90554 29.049363)
BA45,-80.90598,29.04991,New Smyrna Beach,TS,"BH, NS",RB,R,3,PRI,V,99,0,R,,2,S,0,1.0,W,,,3.0,N,0.65,,200.0,210,N,N,POINT (-80.90598 29.04991)
BA46,-80.90647,29.05073,New Smyrna Beach,TS,BH,RB,R,3,PRI,V,"101, 109",0,W,,0,,0,0.0,,,,0.0,N,0.0,,0.0,0,N,N,POINT (-80.90647 29.05073)
BA47,-80.90656,29.05118,New Smyrna Beach,TS,"BH, NS",RB,R,3,PRI,V,,0,R,,2,S,0,1.0,W,,,3.0,N,0.0,,200.0,210,N,N,POINT (-80.90656 29.05118)
BA48,-80.90719,29.05199,New Smyrna Beach,TR,"BH, NS",RB,R,3,PRI,V,99,0,R,,2,"S, W",0,1.0,,,,3.0,N,0.6,,0.0,0,N,N,POINT (-80.90719 29.05199)
BA49,-80.907388,29.052454,New Smyrna Beach,TS,NS,RB,R,3,PRI,V,99,0,R,,6,W,0,0.0,,,,6.0,N,0.0,,190.0,200,N,N,POINT (-80.907388 29.052454)
BA50,-80.907675,29.052852,New Smyrna Beach,TS,"BH, NS",O,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,metal,190.0,200,N,N,POINT (-80.907675 29.052852)
BA51,-80.907897,29.053186,New Smyrna Beach,TS,"HS, NS",RB,R,3,PRI,V,99,0,R,,4,"S, R",0,1.0,W,,,5.0,N,0.5,,75.0,85,N,N,POINT (-80.907897 29.053186)
BA52,-80.912293,29.054027,New Smyrna Beach,TR,NS,,N,2,PUB,V,"111, 123",1,V,"111, 123, 231",2,V,0,2.0,V,"110, 111",2,7.0,N,0.13,,50.0,75,Y,N,POINT (-80.912293 29.054027)
BA53,-80.910825,29.051166,New Smyrna Beach,TR,NS,,N,3,PUB,V,111,2,V,"111, 112",3,V,0,1.0,V,210,2,8.0,N,0.69,,33.0,43,Y,N,POINT (-80.910825 29.051166)
BA54,-80.909602,29.04873,New Smyrna Beach,TR,NS,,N,3,PUB,V,"123, 231",3,V,"231, 111",3,V,210,3.0,"S, OY",,5,11.0,N,0.11,,45.0,55,Y,N,POINT (-80.909602 29.04873)
BA55,-80.908414,29.045629,New Smyrna Beach,TR,NS,,N,3,PUB,V,111,1,V,"111, 231",4,"S, OY",0,3.0,MF,,13,21.0,N,0.66,5 m wide water channel next to point,15.0,22,,,POINT (-80.908414 29.045629)
BA56,-80.908776,29.043223,New Smyrna Beach,OF,HS,,R,3,PUB,,,0,,,0,,0,0.0,,,,0.0,N,0.0,"small canal going back to residential docks one side, not on other",0.0,0,,,POINT (-80.908776 29.043223)
BA57,-80.90862,29.0431,New Smyrna Beach,TS,"BH, NS",CON,R,3,PRI,V,99,0,V,210,4,S,0,10.0,W,,,14.0,N,0.2,,40.0,50,N,N,POINT (-80.90862 29.0431)
BA58,-80.90791,29.04257,New Smyrna Beach,TS,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,35.0,45,Y,N,POINT (-80.90791 29.04257)
BA59,-80.90791,29.04185,New Smyrna Beach,TS,"BH, HS",RB,R,3,PRI,V,99,0,R,,2,W,0,0.0,,,,2.0,N,0.7,,59.0,69,Y,N,POINT (-80.90791 29.04185)
BA60,-80.90794,29.04151,New Smyrna Beach,TS,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,55.0,65,Y,N,POINT (-80.90794 29.04151)
BA61,-80.90791,29.04126,New Smyrna Beach,TS,"BH, HS",RB,R,3,PRI,V,99,0,R,,2,W,0,0.0,,,,1.5,N,0.6,,75.0,85,Y,N,POINT (-80.90791 29.04126)
BA62,-80.90787,29.04099,New Smyrna Beach,TS,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,42.0,52,Y,N,POINT (-80.90787 29.04099)
BA63,-80.90787,29.04061,New Smyrna Beach,TS,"BH, NS","CON, RB",R,3,PRI,V,99,0,R,,2,W,0,0.0,,,,2.0,N,0.6,,126.0,136,N,N,POINT (-80.90787 29.04061)
BA64,-80.9081,29.04018,New Smyrna Beach,OF,HS,,R,3,PRI,,,0,,,0,,0,0.0,,,,0.0,N,0.0,"large canal, docks one side condos on other ~100 m wide",0.0,0,,,POINT (-80.9081 29.04018)
BA65,-80.90807,29.03989,New Smyrna Beach,TS,BH,CON,R,3,PRI,W,,0,,,0,,0,0.0,,,,0.0,N,0.0,"condo marina, Diamond Head Pointe",0.0,0,,,POINT (-80.90807 29.03989)
BA66,-80.90755,29.03924,New Smyrna Beach,TR,BH,CON,R,3,PRI,V,99,0,W,,0,,0,0.0,,,,0.0,N,0.0,,30.0,40,N,N,POINT (-80.90755 29.03924)
BB1,-80.90842,29.03095,New Smyrna Beach,TR,"BH, NS","WO, CON",R,3,PRI,V,"111, 123",4,W,,0,,0,0.0,,,,4.0,N,0.1,,150.0,150,Y,N,POINT (-80.90842 29.03095)
BB2,-80.90753,29.03138,New Smyrna Beach,TR,"BH, NS","WO, CON",R,3,PRI,V,"111, 112",4,W,,0,,0,0.0,,,,4.0,N,0.1,2 BH,300.0,300,Y,N,POINT (-80.90753 29.03138)
BB3,-80.90678,29.03204,New Smyrna Beach,TR,"BH, NS","WO, CON",R,3,PRI,V,"111, 112",4,W,,0,,0,0.0,,,,4.0,N,0.1,2 BH,200.0,200,Y,N,POINT (-80.90678 29.03204)
BB4,-80.90694,29.03195,New Smyrna Beach,OF,BH,,R,0,PRI,,,0,,,0,,0,0.0,,,,0.0,N,0.0,"2 circular, water flow, 1 ft diameter, 3 ft diameter, in BH",0.0,0,,,POINT (-80.90694 29.03195)
BB5,-80.90613,29.03264,New Smyrna Beach,TR,"BH, NS","WO, CON",R,3,PRI,V,"111, 112",4,W,,0,,0,0.0,,,,4.0,N,0.1,2 BH,150.0,150,Y,N,POINT (-80.90613 29.03264)
BB6,-80.90622,29.0326,New Smyrna Beach,OF,BH,,R,0,PRI,,,0,,,0,,0,0.0,,,,0.0,,0.0,"1 circular, water flow, 2 ft diameter, in BH, vegetation at base",150.0,150,Y,N,POINT (-80.90622 29.0326)
BB7,-80.9053,29.03302,New Smyrna Beach,TR,"BH, NS","WO, CON",R,3,PRI,V,"111, 112",6,W,,0,,0,0.0,,,,6.0,N,0.1,2 BH,90.0,90,Y,N,POINT (-80.9053 29.03302)
